country1,country2,games,wins,looses,draws
Denmark,Poland,19,0.526315789,0.421052632,0.052631579
Poland,Denmark,19,0.421052632,0.526315789,0.052631579
Denmark,Portugal,15,0.2,0.666666667,0.133333333
Portugal,Denmark,15,0.666666667,0.2,0.133333333
Denmark,Senegal,3,0.666666667,0,0.333333333
Senegal,Denmark,3,0,0.666666667,0.333333333
Denmark,Serbia,3,1,0,0
Serbia,Denmark,3,0,1,0
Denmark,South Korea,1,0,0,1
South Korea,Denmark,1,0,0,1
Denmark,Spain,16,0.125,0.6875,0.1875
Spain,Denmark,16,0.6875,0.125,0.1875
Denmark,Switzerland,12,0.333333333,0.166666667,0.5
Switzerland,Denmark,12,0.166666667,0.333333333,0.5
Denmark,Tunisia,1,1,0,0
Tunisia,Denmark,1,0,1,0
Denmark,Uruguay,2,1,0,0
Uruguay,Denmark,2,0,1,0
Denmark,Wales,11,0.636363636,0.363636364,0
Wales,Denmark,11,0.363636364,0.636363636,0
Ecuador,Croatia,1,1,0,0
Croatia,Ecuador,1,0,1,0
Ecuador,England,3,0,0.666666667,0.333333333
England,Ecuador,3,0.666666667,0,0.333333333
Ecuador,France,2,0,0.5,0.5
France,Ecuador,2,0.5,0,0.5
Ecuador,Germany,2,0,1,0
Germany,Ecuador,2,1,0,0
Ecuador,Iran,3,0.333333333,0,0.666666667
Iran,Ecuador,3,0,0.333333333,0.666666667
Ecuador,Japan,3,0,0.666666667,0.333333333
Japan,Ecuador,3,0.666666667,0,0.333333333
Ecuador,Mexico,24,0.166666667,0.583333333,0.25
Mexico,Ecuador,24,0.583333333,0.166666667,0.25
Ecuador,Poland,3,0.333333333,0.333333333,0.333333333
Poland,Ecuador,3,0.333333333,0.333333333,0.333333333
Ecuador,Portugal,2,0.5,0.5,0
Portugal,Ecuador,2,0.5,0.5,0
Ecuador,Senegal,2,0,1,0
Senegal,Ecuador,2,1,0,0
Ecuador,Serbia,1,1,0,0
Serbia,Ecuador,1,0,1,0
Ecuador,South Korea,2,0.5,0.5,0
South Korea,Ecuador,2,0.5,0.5,0
Ecuador,Spain,2,0,1,0
Spain,Ecuador,2,1,0,0
Ecuador,Uruguay,48,0.145833333,0.645833333,0.208333333
Uruguay,Ecuador,48,0.645833333,0.145833333,0.208333333
England,France,33,0.515151515,0.303030303,0.181818182
France,England,33,0.303030303,0.515151515,0.181818182
England,Germany,34,0.411764706,0.382352941,0.205882353
Germany,England,34,0.382352941,0.411764706,0.205882353
England,Ghana,1,0,0,1
Ghana,England,1,0,0,1
England,Japan,3,0.666666667,0,0.333333333
Japan,England,3,0,0.666666667,0.333333333
England,Mexico,10,0.7,0.2,0.1
Mexico,England,10,0.2,0.7,0.1
England,Morocco,2,0.5,0,0.5
Morocco,England,2,0,0.5,0.5
England,Netherlands,22,0.272727273,0.318181818,0.409090909
Netherlands,England,22,0.318181818,0.272727273,0.409090909
England,Poland,21,0.571428571,0.047619048,0.380952381
Poland,England,21,0.047619048,0.571428571,0.380952381
England,Portugal,23,0.434782609,0.130434783,0.434782609
Portugal,England,23,0.130434783,0.434782609,0.434782609
England,Saudi Arabia,2,0,0,1
Saudi Arabia,England,2,0,0,1
England,Serbia,1,1,0,0
Serbia,England,1,0,1,0
England,Spain,27,0.481481481,0.37037037,0.148148148
Spain,England,27,0.37037037,0.481481481,0.148148148
England,Switzerland,29,0.655172414,0.137931034,0.206896552
Switzerland,England,29,0.137931034,0.655172414,0.206896552
England,Tunisia,3,0.666666667,0,0.333333333
Tunisia,England,3,0,0.666666667,0.333333333
England,Uruguay,11,0.272727273,0.454545455,0.272727273
Uruguay,England,11,0.454545455,0.272727273,0.272727273
England,Wales,104,0.653846154,0.144230769,0.201923077
Wales,England,104,0.144230769,0.653846154,0.201923077
France,Cameroon,3,0.666666667,0,0.333333333
Cameroon,France,3,0,0.666666667,0.333333333
France,Costa Rica,2,1,0,0
Costa Rica,France,2,0,1,0
France,Germany,32,0.46875,0.28125,0.25
Germany,France,32,0.28125,0.46875,0.25
France,Iran,1,1,0,0
Iran,France,1,0,1,0
France,Japan,6,0.666666667,0.166666667,0.166666667
Japan,France,6,0.166666667,0.666666667,0.166666667
France,Mexico,7,0.714285714,0.142857143,0.142857143
Mexico,France,7,0.142857143,0.714285714,0.142857143
France,Morocco,5,0.6,0,0.4
Morocco,France,5,0,0.6,0.4
France,Netherlands,28,0.464285714,0.392857143,0.142857143
Netherlands,France,28,0.392857143,0.464285714,0.142857143
France,Poland,16,0.5,0.1875,0.3125
Poland,France,16,0.1875,0.5,0.3125
France,Portugal,26,0.653846154,0.230769231,0.115384615
Portugal,France,26,0.230769231,0.653846154,0.115384615
France,Saudi Arabia,1,1,0,0
Saudi Arabia,France,1,0,1,0
France,Senegal,1,0,1,0
Senegal,France,1,1,0,0
France,Serbia,6,0.666666667,0,0.333333333
Serbia,France,6,0,0.666666667,0.333333333
France,South Korea,3,0.666666667,0,0.333333333
South Korea,France,3,0,0.666666667,0.333333333
France,Spain,36,0.361111111,0.444444444,0.194444444
Spain,France,36,0.444444444,0.361111111,0.194444444
France,Switzerland,39,0.41025641,0.307692308,0.282051282
Switzerland,France,39,0.307692308,0.41025641,0.282051282
France,Tunisia,4,0.5,0,0.5
Tunisia,France,4,0,0.5,0.5
France,Uruguay,9,0.333333333,0.222222222,0.444444444
Uruguay,France,9,0.222222222,0.333333333,0.444444444
France,Wales,6,0.666666667,0.166666667,0.166666667
Wales,France,6,0.166666667,0.666666667,0.166666667
Germany,Costa Rica,1,1,0,0
Costa Rica,Germany,1,0,1,0
Germany,Ghana,3,0.666666667,0,0.333333333
Ghana,Germany,3,0,0.666666667,0.333333333
Germany,Iran,2,1,0,0
Iran,Germany,2,0,1,0
Germany,Japan,2,0.5,0,0.5
Japan,Germany,2,0,0.5,0.5
Germany,Mexico,12,0.416666667,0.166666667,0.416666667
Mexico,Germany,12,0.166666667,0.416666667,0.416666667
Germany,Morocco,4,1,0,0
Morocco,Germany,4,0,1,0
Germany,Netherlands,45,0.355555556,0.266666667,0.377777778
Netherlands,Germany,45,0.266666667,0.355555556,0.377777778
Germany,Poland,21,0.619047619,0.047619048,0.333333333
Poland,Germany,21,0.047619048,0.619047619,0.333333333
Germany,Portugal,19,0.578947368,0.157894737,0.263157895
Portugal,Germany,19,0.157894737,0.578947368,0.263157895
Germany,Saudi Arabia,3,1,0,0
Saudi Arabia,Germany,3,0,1,0
Germany,Serbia,5,0.4,0.2,0.4
Serbia,Germany,5,0.2,0.4,0.4
Germany,South Korea,4,0.5,0.5,0
South Korea,Germany,4,0.5,0.5,0
Germany,Spain,25,0.36,0.32,0.32
Spain,Germany,25,0.32,0.36,0.32
Germany,Switzerland,52,0.673076923,0.173076923,0.153846154
Switzerland,Germany,52,0.173076923,0.673076923,0.153846154
Germany,Tunisia,3,0.333333333,0,0.666666667
Tunisia,Germany,3,0,0.333333333,0.666666667
Germany,Uruguay,10,0.8,0,0.2
Uruguay,Germany,10,0,0.8,0.2
Germany,Wales,17,0.529411765,0.117647059,0.352941176
Wales,Germany,17,0.117647059,0.529411765,0.352941176
Ghana,Mexico,2,0,1,0
Mexico,Ghana,2,1,0,0
Ghana,Morocco,10,0.2,0.5,0.3
Morocco,Ghana,10,0.5,0.2,0.3
Ghana,Qatar,1,1,0,0
Qatar,Ghana,1,0,1,0
Ghana,Senegal,12,0.25,0.333333333,0.416666667
Senegal,Ghana,12,0.333333333,0.25,0.416666667
Ghana,Serbia,2,0.5,0.5,0
Serbia,Ghana,2,0.5,0.5,0
Ghana,South Korea,6,0.5,0.5,0
South Korea,Ghana,6,0.5,0.5,0
Ghana,Tunisia,17,0.529411765,0.176470588,0.294117647
Tunisia,Ghana,17,0.176470588,0.529411765,0.294117647
Iran,Brazil,1,0,1,0
Brazil,Iran,1,1,0,0
Iran,Cameroon,2,0,0,1
Cameroon,Iran,2,0,0,1
Iran,Costa Rica,2,0.5,0,0.5
Costa Rica,Iran,2,0,0.5,0.5
Iran,Ghana,2,1,0,0
Ghana,Iran,2,0,1,0
Iran,Japan,11,0.181818182,0.363636364,0.454545455
Japan,Iran,11,0.363636364,0.181818182,0.454545455
Iran,Morocco,3,0.333333333,0,0.666666667
Morocco,Iran,3,0,0.333333333,0.666666667
Iran,Netherlands,1,0,1,0
Netherlands,Iran,1,1,0,0
Iran,Poland,2,0,1,0
Poland,Iran,2,1,0,0
Iran,Portugal,3,0,0.666666667,0.333333333
Portugal,Iran,3,0.666666667,0,0.333333333
Iran,Qatar,22,0.681818182,0.136363636,0.181818182
Qatar,Iran,22,0.136363636,0.681818182,0.181818182
Iran,Saudi Arabia,14,0.285714286,0.285714286,0.428571429
Saudi Arabia,Iran,14,0.285714286,0.285714286,0.428571429
Iran,Senegal,1,0,0,1
Senegal,Iran,1,0,0,1
Iran,South Korea,27,0.37037037,0.296296296,0.333333333
South Korea,Iran,27,0.296296296,0.37037037,0.333333333
Iran,Spain,1,0,1,0
Spain,Iran,1,1,0,0
Iran,Tunisia,2,0,0.5,0.5
Tunisia,Iran,2,0.5,0,0.5
Iran,Wales,1,0,1,0
Wales,Iran,1,1,0,0
Japan,Cameroon,5,0.6,0,0.4
Cameroon,Japan,5,0,0.6,0.4
Japan,Canada,2,1,0,0
Canada,Japan,2,0,1,0
Japan,Croatia,3,0.333333333,0.333333333,0.333333333
Croatia,Japan,3,0.333333333,0.333333333,0.333333333
Japan,Ghana,7,0.714285714,0.285714286,0
Ghana,Japan,7,0.285714286,0.714285714,0
Japan,Mexico,7,0.142857143,0.857142857,0
Mexico,Japan,7,0.857142857,0.142857143,0
Japan,Poland,7,0.285714286,0.714285714,0
Poland,Japan,7,0.714285714,0.285714286,0
Japan,Qatar,7,0.285714286,0.285714286,0.428571429
Qatar,Japan,7,0.285714286,0.285714286,0.428571429
Japan,Saudi Arabia,15,0.666666667,0.266666667,0.066666667
Saudi Arabia,Japan,15,0.266666667,0.666666667,0.066666667
Japan,Senegal,4,0,0.5,0.5
Senegal,Japan,4,0.5,0,0.5
Japan,Serbia,8,0.5,0.5,0
Serbia,Japan,8,0.5,0.5,0
Japan,South Korea,66,0.181818182,0.5,0.318181818
South Korea,Japan,66,0.5,0.181818182,0.318181818
Japan,Switzerland,3,0.333333333,0.333333333,0.333333333
Switzerland,Japan,3,0.333333333,0.333333333,0.333333333
Japan,Tunisia,5,0.8,0.2,0
Tunisia,Japan,5,0.2,0.8,0
Japan,Uruguay,8,0.25,0.5,0.25
Uruguay,Japan,8,0.5,0.25,0.25
Japan,Wales,1,0,1,0
Wales,Japan,1,1,0,0
Mexico,Cameroon,2,1,0,0
Cameroon,Mexico,2,0,1,0
Mexico,Iran,3,1,0,0
Iran,Mexico,3,0,1,0
Mexico,Netherlands,9,0.444444444,0.444444444,0.111111111
Netherlands,Mexico,9,0.444444444,0.444444444,0.111111111
Mexico,Poland,9,0.333333333,0.333333333,0.333333333
Poland,Mexico,9,0.333333333,0.333333333,0.333333333
Mexico,Portugal,5,0,0.6,0.4
Portugal,Mexico,5,0.6,0,0.4
Mexico,Saudi Arabia,5,0.8,0,0.2
Saudi Arabia,Mexico,5,0,0.8,0.2
Mexico,Senegal,1,1,0,0
Senegal,Mexico,1,0,1,0
Mexico,Serbia,4,0.25,0.5,0.25
Serbia,Mexico,4,0.5,0.25,0.25
Mexico,South Korea,13,0.615384615,0.230769231,0.153846154
South Korea,Mexico,13,0.230769231,0.615384615,0.153846154
Mexico,Spain,6,0,0.5,0.5
Spain,Mexico,6,0.5,0,0.5
Mexico,Switzerland,6,0.166666667,0.666666667,0.166666667
Switzerland,Mexico,6,0.666666667,0.166666667,0.166666667
Mexico,Tunisia,1,0,1,0
Tunisia,Mexico,1,1,0,0
Mexico,Uruguay,22,0.363636364,0.318181818,0.318181818
